train_dpt test_dpt
30.162 396.395
26.703 371.132
25.574 342.206
24.707 310.106
24.141 277.025
23.567 243.627
23.169 213.227
22.669 186.189
22.391 161.999
22.106 142.026
21.732 124.953
21.427 109.953
21.166 97.851
20.911 87.955
20.668 79.466
20.366 72.178
20.206 66.474
19.973 62.060
19.683 58.248
19.465 55.496
19.240 53.027
19.018 51.416
18.859 50.156
18.572 49.238
18.399 48.417
23.482 33.981
21.424 27.356
20.555 23.641
20.033 21.588
19.470 20.215
19.182 19.320
18.801 18.746
18.440 18.199
18.167 18.013
17.890 17.741
17.653 17.491
17.356 17.458
17.104 17.192
16.942 17.036
16.690 16.976
16.502 16.988
16.328 16.969
16.131 16.850
15.975 16.949
15.845 16.825
15.660 16.880
15.546 16.845
15.428 16.859
15.281 16.789
15.235 16.720
